# Time-averaged data for fix myat1
# TimeStep v_xave v_xdes
1390100 -4.25184 -4
1390200 -4.40967 -4
1390300 -4.63303 -4
1390400 -4.47896 -4
1390500 -4.21269 -4
1390600 -3.96432 -4
1390700 -3.8182 -4
1390800 -3.64796 -4
1390900 -3.44399 -4
1391000 -3.36976 -4
1391100 -3.49259 -4
1391200 -3.66137 -4
1391300 -3.83406 -4
1391400 -4.08876 -4
1391500 -4.2034 -4
1391600 -4.24808 -4
1391700 -4.25446 -4
1391800 -4.21516 -4
1391900 -4.18678 -4
1392000 -4.16667 -4
1392100 -4.31894 -4
1392200 -4.16401 -4
1392300 -3.88293 -4
1392400 -3.8289 -4
1392500 -3.68465 -4
1392600 -3.50516 -4
1392700 -3.74963 -4
1392800 -4.17023 -4
1392900 -4.62063 -4
1393000 -4.99601 -4
1393100 -4.80724 -4
1393200 -4.59487 -4
1393300 -4.28554 -4
1393400 -4.01681 -4
1393500 -3.74758 -4
1393600 -3.75978 -4
1393700 -3.95405 -4
1393800 -4.20864 -4
1393900 -4.27447 -4
1394000 -4.25356 -4
1394100 -4.28358 -4
1394200 -4.18814 -4
1394300 -3.88202 -4
1394400 -3.69771 -4
1394500 -3.75789 -4
1394600 -3.54399 -4
1394700 -3.44916 -4
1394800 -3.60733 -4
1394900 -3.72838 -4
1395000 -4.0428 -4
1395100 -4.21818 -4
1395200 -4.23929 -4
1395300 -4.36388 -4
1395400 -4.3515 -4
1395500 -4.17495 -4
1395600 -3.96821 -4
1395700 -3.64295 -4
1395800 -3.20781 -4
1395900 -2.86016 -4
1396000 -2.84958 -4
1396100 -2.87991 -4
1396200 -2.98191 -4
1396300 -2.96942 -4
1396400 -2.99005 -4
1396500 -3.01356 -4
1396600 -3.10138 -4
1396700 -3.39123 -4
1396800 -3.51186 -4
1396900 -3.78776 -4
1397000 -3.94705 -4
1397100 -4.31723 -4
1397200 -4.72068 -4
1397300 -4.90367 -4
1397400 -4.91169 -4
1397500 -4.98022 -4
1397600 -4.97661 -4
1397700 -4.72451 -4
1397800 -4.35961 -4
1397900 -3.97715 -4
1398000 -3.56666 -4
1398100 -3.28321 -4
1398200 -3.27798 -4
1398300 -3.65733 -4
1398400 -4.20867 -4
1398500 -4.29305 -4
1398600 -4.00214 -4
1398700 -3.74805 -4
1398800 -3.87783 -4
1398900 -4.15664 -4
1399000 -4.39257 -4
1399100 -4.50121 -4
1399200 -4.60791 -4
1399300 -4.55563 -4
1399400 -4.52502 -4
1399500 -4.17653 -4
1399600 -3.94665 -4
1399700 -3.79955 -4
1399800 -3.7547 -4
1399900 -3.81802 -4
1400000 -4.00474 -4
1400100 -3.90335 -4
1400200 -3.93864 -4
1400300 -3.99804 -4
1400400 -4.21957 -4
1400500 -4.53651 -4
1400600 -5.10919 -4
1400700 -5.49662 -4
1400800 -5.66817 -4
1400900 -5.79192 -4
1401000 -5.6229 -4
1401100 -4.92135 -4
1401200 -4.41601 -4
1401300 -4.08439 -4
1401400 -4.1149 -4
1401500 -4.27181 -4
1401600 -4.28811 -4
1401700 -4.24865 -4
1401800 -4.24733 -4
1401900 -4.17236 -4
1402000 -4.32509 -4
1402100 -4.46576 -4
1402200 -4.59642 -4
1402300 -4.49196 -4
1402400 -4.42055 -4
1402500 -4.31704 -4
1402600 -4.08651 -4
1402700 -3.60717 -4
1402800 -3.33058 -4
1402900 -3.3865 -4
1403000 -3.64263 -4
1403100 -3.68576 -4
1403200 -3.5172 -4
1403300 -3.61039 -4
1403400 -4.05137 -4
1403500 -4.56731 -4
1403600 -4.87469 -4
1403700 -4.96817 -4
1403800 -4.65417 -4
1403900 -4.4062 -4
1404000 -4.20121 -4
1404100 -4.18571 -4
1404200 -4.36299 -4
1404300 -4.41031 -4
1404400 -4.32371 -4
1404500 -4.10141 -4
1404600 -3.58887 -4
1404700 -3.02071 -4
1404800 -2.82862 -4
1404900 -2.94601 -4
1405000 -2.96497 -4
1405100 -3.22454 -4
1405200 -3.5169 -4
1405300 -3.73341 -4
