# Chunk-averaged data for fix myac3 and group ions
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 162 30.000000000000007
  1 -20.125 0 0 0
  2 -19.875 0 0 0
  3 -19.625 0 0 0
  4 -19.375 0 0 0
  5 -19.125 0 0 0
  6 -18.875 0 0 0
  7 -18.625 0 0 0
  8 -18.375 0 0 0
  9 -18.125 0 0 0
  10 -17.875 0 0 0
  11 -17.625 0 0 0
  12 -17.375 0 0 0
  13 -17.125 0 0 0
  14 -16.875 0 0 0
  15 -16.625 0 0 0
  16 -16.375 0 0 0
  17 -16.125 0 0 0
  18 -15.875 0 0 0
  19 -15.625 0 0 0
  20 -15.375 0 0 0
  21 -15.125 0 0 0
  22 -14.875 0 0 0
  23 -14.625 0 0 0
  24 -14.375 0 0 0
  25 -14.125 0 0 0
  26 -13.875 0 0 0
  27 -13.625 0 0 0
  28 -13.375 0 0 0
  29 -13.125 0 0 0
  30 -12.875 0 0 0
  31 -12.625 0 0 0
  32 -12.375 0 0 0
  33 -12.125 0 0 0
  34 -11.875 0 0 0
  35 -11.625 0 0 0
  36 -11.375 0 0 0
  37 -11.125 0 0 0
  38 -10.875 0 0 0
  39 -10.625 0 0 0
  40 -10.375 0 0 0
  41 -10.125 0 0 0
  42 -9.875 0 0 0
  43 -9.625 0.00666667 0.00173257 -0.00074442
  44 -9.375 0.0379333 0.00985834 -0.000541157
  45 -9.125 0.236133 0.064486 -0.000170425
  46 -8.875 1.0226 0.332455 -0.000174346
  47 -8.625 2.52567 0.921701 -0.00017564
  48 -8.375 2.46047 0.912637 -0.000159498
  49 -8.125 1.08813 0.393301 -0.00019739
  50 -7.875 0.494067 0.161857 -9.87389e-05
  51 -7.625 0.4242 0.123111 -0.000166163
  52 -7.375 0.491733 0.136868 -0.000143203
  53 -7.125 0.390933 0.108248 -6.79569e-05
  54 -6.875 0.247667 0.0701226 -0.000264016
  55 -6.625 0.222733 0.0667704 -3.13225e-05
  56 -6.375 0.275067 0.0821933 -6.7647e-05
  57 -6.125 0.362667 0.104095 -0.00039573
  58 -5.875 0.4422 0.122248 -7.9481e-05
  59 -5.625 0.471 0.129676 -0.000173648
  60 -5.375 0.516867 0.14122 -0.000175912
  61 -5.125 0.619667 0.16619 -0.000103049
  62 -4.875 0.650267 0.174781 -0.000126198
  63 -4.625 0.535 0.150216 -7.71258e-05
  64 -4.375 0.445333 0.139311 -0.000111524
  65 -4.125 0.342 0.119538 -0.000138196
  66 -3.875 0.2542 0.0940241 -0.000290595
  67 -3.625 0.199333 0.0757357 -8.82443e-05
  68 -3.375 0.1612 0.0610822 4.48961e-05
  69 -3.125 0.186533 0.0721743 -6.09793e-05
