# Chunk-averaged data for fix myac2 and group wall
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 162 432
  1 -20.125 0 0 0
  2 -19.875 0 0 0
  3 -19.625 0 0 0
  4 -19.375 0 0 0
  5 -19.125 0 0 0
  6 -18.875 0 0 0
  7 -18.625 0 0 0
  8 -18.375 0 0 0
  9 -18.125 0 0 0
  10 -17.875 0 0 0
  11 -17.625 0 0 0
  12 -17.375 0 0 0
  13 -17.125 0 0 0
  14 -16.875 0 0 0
  15 -16.625 0 0 0
  16 -16.375 0.0002 6.10014e-05 -0.0002
  17 -16.125 0.536667 0.163687 -0.0002
  18 -15.875 17.8016 5.42961 -0.0002
  19 -15.625 46.5109 14.1861 -0.0002
  20 -15.375 7.12727 2.17387 -0.0002
  21 -15.125 0.0234 0.00713717 -0.0002
  22 -14.875 0 0 0
  23 -14.625 0 0 0
  24 -14.375 0 0 0
  25 -14.125 0.256733 0.0783055 -0.0002
  26 -13.875 14.2829 4.35638 -0.0002
  27 -13.625 48.6933 14.8518 -0.0002
  28 -13.375 8.74033 2.66586 -0.0002
  29 -13.125 0.0267333 0.00815386 -0.0002
  30 -12.875 0 0 0
  31 -12.625 0 0 0
  32 -12.375 0 0 0
  33 -12.125 0.2072 0.0631975 -0.0002
  34 -11.875 12.2495 3.73617 -0.0002
  35 -11.625 47.5079 14.4902 -0.0002
  36 -11.375 11.9513 3.64522 -0.0002
  37 -11.125 0.0842 0.0256816 -0.0002
  38 -10.875 0 0 0
  39 -10.625 0 0 0
  40 -10.375 0 0 0
  41 -10.125 0 0 0
  42 -9.875 0 0 0
  43 -9.625 0 0 0
  44 -9.375 0 0 0
  45 -9.125 0 0 0
  46 -8.875 0 0 0
  47 -8.625 0 0 0
  48 -8.375 0 0 0
  49 -8.125 0 0 0
  50 -7.875 0 0 0
  51 -7.625 0 0 0
  52 -7.375 0 0 0
  53 -7.125 0 0 0
  54 -6.875 0 0 0
  55 -6.625 0 0 0
  56 -6.375 0 0 0
  57 -6.125 0 0 0
  58 -5.875 0 0 0
  59 -5.625 0 0 0
  60 -5.375 0 0 0
  61 -5.125 0 0 0
  62 -4.875 0 0 0
  63 -4.625 0 0 0
  64 -4.375 0 0 0
  65 -4.125 0 0 0
  66 -3.875 0 0 0
  67 -3.625 0 0 0
  68 -3.375 0 0 0
  69 -3.125 0 0 0
  70 -2.875 0 0 0
  71 -2.625 0 0 0
  72 -2.375 0 0 0
  73 -2.125 0 0 0
  74 -1.875 0 0 0
  75 -1.625 0 0 0
  76 -1.375 0 0 0
  77 -1.125 0 0 0
  78 -0.875 0 0 0
  79 -0.625 0 0 0
  80 -0.375 0 0 0
  81 -0.125 0 0 0
  82 0.125 0 0 0
  83 0.375 0 0 0
  84 0.625 0 0 0
  85 0.875 0 0 0
  86 1.125 0 0 0
  87 1.375 0 0 0
  88 1.625 0 0 0
  89 1.875 0 0 0
  90 2.125 0 0 0
  91 2.375 0 0 0
  92 2.625 0 0 0
  93 2.875 0 0 0
  94 3.125 0 0 0
  95 3.375 0 0 0
  96 3.625 0 0 0
  97 3.875 0 0 0
  98 4.125 0 0 0
  99 4.375 0 0 0
  100 4.625 0 0 0
  101 4.875 0 0 0
  102 5.125 0 0 0
  103 5.375 0 0 0
  104 5.625 0 0 0
  105 5.875 0 0 0
  106 6.125 0 0 0
  107 6.375 0 0 0
  108 6.625 0 0 0
  109 6.875 0 0 0
  110 7.125 0 0 0
  111 7.375 0 0 0
  112 7.625 0 0 0
  113 7.875 0 0 0
  114 8.125 0 0 0
  115 8.375 0 0 0
  116 8.625 0 0 0
  117 8.875 0 0 0
  118 9.125 0 0 0
  119 9.375 0 0 0
  120 9.625 0 0 0
  121 9.875 0 0 0
  122 10.125 0 0 0
  123 10.375 0 0 0
  124 10.625 0 0 0
  125 10.875 0 0 0
  126 11.125 0.003 0.000915021 0.0002
  127 11.375 2.3924 0.729699 0.0002
  128 11.625 34.1863 10.4271 0.0002
  129 11.875 32.3305 9.86102 0.0002
  130 12.125 3.07673 0.938425 0.0002
  131 12.375 0.0110667 0.00337541 0.0002
  132 12.625 0 0 0
  133 12.875 0 0 0
  134 13.125 0.000266667 8.13352e-05 0.0002
  135 13.375 1.41787 0.432459 0.0002
  136 13.625 31.2639 9.53572 0.0002
  137 13.875 35.6485 10.873 0.0002
  138 14.125 3.65967 1.11622 0.0002
  139 14.375 0.0098 0.00298907 0.0002
  140 14.625 0 0 0
  141 14.875 0 0 0
  142 15.125 0.0002 6.10014e-05 0.0002
  143 15.375 1.11373 0.339697 0.0002
  144 15.625 27.6569 8.43554 0.0002
  145 15.875 38.0908 11.618 0.0002
  146 16.125 5.09793 1.55491 0.0002
  147 16.375 0.0404667 0.0123426 0.0002
  148 16.625 0 0 0
  149 16.875 0 0 0
  150 17.125 0 0 0
  151 17.375 0 0 0
  152 17.625 0 0 0
  153 17.875 0 0 0
  154 18.125 0 0 0
  155 18.375 0 0 0
  156 18.625 0 0 0
  157 18.875 0 0 0
  158 19.125 0 0 0
  159 19.375 0 0 0
  160 19.625 0 0 0
  161 19.875 0 0 0
  162 20.125 0 0 0
