# Chunk-averaged data for fix myac1 and group H2O
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass vx
200000 162 1217.9999999999995
  1 -20.125 0 0 0
  2 -19.875 0 0 0
  3 -19.625 0 0 0
  4 -19.375 0 0 0
  5 -19.125 0 0 0
  6 -18.875 0 0 0
  7 -18.625 0 0 0
  8 -18.375 0 0 0
  9 -18.125 0 0 0
  10 -17.875 0 0 0
  11 -17.625 0 0 0
  12 -17.375 0 0 0
  13 -17.125 0 0 0
  14 -16.875 0 0 0
  15 -16.625 0 0 0
  16 -16.375 0 0 0
  17 -16.125 0 0 0
  18 -15.875 0 0 0
  19 -15.625 0 0 0
  20 -15.375 0 0 0
  21 -15.125 0 0 0
  22 -14.875 0 0 0
  23 -14.625 0 0 0
  24 -14.375 0 0 0
  25 -14.125 0 0 0
  26 -13.875 0 0 0
  27 -13.625 0 0 0
  28 -13.375 0 0 0
  29 -13.125 0 0 0
  30 -12.875 0 0 0
  31 -12.625 0 0 0
  32 -12.375 0 0 0
  33 -12.125 0 0 0
  34 -11.875 0 0 0
  35 -11.625 0 0 0
  36 -11.375 0 0 0
  37 -11.125 0 0 0
  38 -10.875 0.00266667 3.0386e-05 -0.00111441
  39 -10.625 0.0573333 0.000653298 0.000282608
  40 -10.375 0.432733 0.00493088 -2.47432e-05
  41 -10.125 1.3138 0.014993 -0.000233763
  42 -9.875 2.8398 0.0392053 -0.000243127
  43 -9.625 7.23353 0.258286 -0.000211601
  44 -9.375 18.838 1.22223 -0.000185914
  45 -9.125 32.6032 2.51571 -0.000165085
  46 -8.875 33.9719 2.65931 -0.00019376
  47 -8.625 24.7147 1.8811 -0.000135834
  48 -8.375 15.9899 1.10553 -0.000137127
  49 -8.125 11.6106 0.681329 -0.000143632
  50 -7.875 9.3714 0.478415 -0.000188386
  51 -7.625 8.5268 0.400473 -0.0001514
  52 -7.375 8.90147 0.372453 -0.00015205
  53 -7.125 9.80027 0.44185 -0.000176963
  54 -6.875 11.4175 0.659752 -0.00018503
  55 -6.625 14.4267 1.08941 -0.000123559
  56 -6.375 18.0779 1.50926 -0.000168545
  57 -6.125 20.2017 1.64775 -0.000146827
  58 -5.875 19.8415 1.51598 -0.00015628
  59 -5.625 18.2043 1.27852 -0.000123174
  60 -5.375 15.9565 1.03569 -0.000151786
  61 -5.125 14.1192 0.867044 -0.000174737
  62 -4.875 12.9196 0.816532 -0.000118662
  63 -4.625 12.0369 0.815636 -0.000151652
  64 -4.375 11.9347 0.840842 -0.000110285
  65 -4.125 12.2974 0.869219 -0.000154829
  66 -3.875 13.023 0.904082 -0.000115017
  67 -3.625 14.0835 0.966227 -0.000108544
  68 -3.375 15.1516 1.04168 -0.000121226
