ITEM: TIMESTEP
25000
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
-1.1125721167720103e+01 1.1125721167720103e+01
-1.1125721167720103e+01 1.1125721167720103e+01
ITEM: ENTRIES index c_dphi
1 -158.636 
2 -27.5458 
3 82.6871 
4 105.277 
5 -22.4456 
6 -138.415 
7 94.315 
8 -21.654 
9 -137.962 
10 -149.964 
11 94.0669 
12 -22.2414 
13 93.9351 
14 -31.1031 
15 -146.068 
16 -144.877 
17 -17.7106 
18 94.5877 
19 121.528 
20 -1.487 
21 -108.441 
22 128.543 
23 4.27169 
24 -118.744 
25 -65.2711 
26 56.2 
27 -102.273 
28 141.331 
29 27.1985 
30 -108.834 
31 137.034 
32 7.56218 
33 11.7503 
34 -102.382 
35 128.146 
36 -100.026 
37 146.572 
38 23.3165 
39 -146.956 
40 96.894 
41 -23.6424 
42 -77.6286 
43 -89.7972 
44 153.711 
45 43.0972 
46 32.577 
47 -83.9144 
48 165.471 
49 149.477 
50 32.9856 
51 -154.52 
52 83.2766 
53 -41.0136 
54 145.233 
55 -86.1644 
56 33.8598 
57 76.88 
58 -46.4573 
59 -168.904 
60 71.6503 
61 -50.7967 
62 -165.012 
63 -173.759 
64 63.7942 
65 -50.4216 
66 -179.836 
67 67.0031 
68 -54.9187 
69 -151.687 
70 -35.2607 
71 83.5104 
72 160.273 
73 39.9558 
74 -77.8897 
75 -143.387 
76 95.4338 
77 -21.6077 
78 -145.245 
79 97.7133 
80 -24.066 
81 -29.9316 
82 -146.973 
83 91.2476 
84 -52.7946 
85 82.0849 
86 -166.898 
87 166.108 
88 -68.8915 
89 46.1301 
90 -158.708 
91 69.2499 
92 -49.4059 
93 -170.851 
94 70.4928 
95 -38.809 
96 -43.9994 
97 -162.655 
98 88.0429 
99 159.25 
100 46.5107 
101 -81.749 
102 169.706 
103 45.9379 
104 -72.3847 
105 57.8358 
106 -63.2733 
107 167.663 
108 61.2542 
109 -67.8093 
110 -177.637 
111 177.889 
112 48.8256 
113 -61.0018 
114 11.3395 
115 131.368 
116 -100.345 
ITEM: TIMESTEP
25100
ITEM: NUMBER OF ENTRIES
116
ITEM: BOX BOUNDS pp pp pp
-2.1659880786948438e+01 2.1659880786948438e+01
