strain,sxx_GPa
0.00000,-0.08105
0.00100,0.17084
0.00200,0.21990
0.00300,0.30312
0.00400,0.14087
0.00500,0.08026
0.00600,0.07330
0.00700,0.13210
0.00800,0.30971
0.00900,0.40583
0.01000,0.50861
0.01100,0.40805
0.01200,0.48905
0.01300,0.34389
0.01400,0.36402
0.01500,0.45444
0.01600,0.53962
0.01700,0.61054
0.01800,0.65953
0.01900,0.73875
0.02000,0.68662
0.02100,0.65367
0.02200,0.64279
0.02300,0.76268
0.02400,0.81922
0.02500,0.87616
0.02600,0.91303
0.02700,0.94597
0.02800,0.96393
0.02900,0.98081
0.03000,0.88794
0.03100,1.05234
0.03200,1.02183
0.03300,1.12038
0.03400,1.17850
0.03500,1.17140
0.03600,1.22033
0.03700,1.25349
0.03800,1.27735
0.03900,1.33488
0.04000,1.35362
0.04100,1.41737
0.04200,1.29307
0.04300,1.36658
0.04400,1.48899
0.04500,1.48401
0.04600,1.59529
0.04700,1.61708
0.04800,1.54498
0.04900,1.48072
0.05000,1.57198
0.05100,1.62216
0.05200,1.69006
0.05300,1.83542
0.05400,1.87700
0.05500,1.72064
0.05600,1.68144
0.05700,1.78495
0.05800,1.78467
0.05900,1.85938
0.06000,1.99141
0.06100,1.97206
0.06200,1.92483
0.06300,1.96237
0.06400,1.97795
0.06500,1.90117
0.06600,1.99684
0.06700,2.10489
0.06800,2.09157
0.06900,2.24052
0.07000,2.25534
0.07100,2.15157
0.07200,2.04481
0.07300,2.10755
0.07400,2.21441
0.07500,2.28787
0.07600,2.42485
0.07700,2.28943
0.07800,2.27190
0.07900,2.23876
0.08000,2.28258
0.08100,2.29749
0.08200,2.43080
0.08300,2.42183
0.08400,2.46726
0.08500,2.41247
0.08600,2.40858
0.08700,2.45781
0.08800,2.50927
0.08900,2.59210
0.09000,2.56830
0.09100,2.55845
0.09200,2.52539
0.09300,2.56187
0.09400,2.57313
0.09500,2.61682
0.09600,2.67932
0.09700,2.71130
0.09800,2.63845
0.09900,2.75839
0.10000,2.68870
0.10100,2.60146
0.10200,2.67392
0.10300,2.83428
0.10400,2.84278
0.10500,2.80050
0.10600,2.86637
0.10700,2.74289
0.10800,2.66850
0.10900,2.73247
0.11000,2.81854
0.11100,2.84273
0.11200,2.83087
0.11300,2.83340
0.11400,2.87487
0.11500,2.86569
0.11600,2.79551
0.11700,2.83600
0.11800,2.84233
0.11900,2.89831
0.12000,2.92173
0.12100,2.96191
0.12200,3.03227
0.12300,2.88467
0.12400,2.87755
0.12500,2.96350
0.12600,2.89232
0.12700,2.96293
0.12800,2.97190
0.12900,3.04413
0.13000,3.00908
0.13100,2.95774
0.13200,2.96642
0.13300,2.97528
0.13400,2.94332
0.13500,3.04354
0.13600,3.02114
0.13700,2.99374
0.13800,2.96184
0.13900,2.88854
0.14000,2.89031
0.14100,2.84821
0.14200,2.97965
0.14300,2.88276
0.14400,2.79121
0.14500,2.82063
0.14600,2.83716
0.14700,2.78138
0.14800,2.64997
0.14900,2.61093
0.15000,2.47587
0.15100,2.49672
0.15200,2.46297
0.15300,2.44054
0.15400,2.40738
0.15500,2.34880
0.15600,2.28251
0.15700,2.22461
0.15800,2.21130
0.15900,2.15792
0.16000,2.07071
0.16100,2.10436
0.16200,2.00792
0.16300,1.88414
0.16400,1.75030
0.16500,1.72022
0.16600,1.62594
0.16700,1.59037
0.16800,1.65673
0.16900,1.50774
0.17000,1.45137
0.17100,1.43962
0.17200,1.33196
0.17300,1.29169
0.17400,1.25706
0.17500,1.18607
0.17600,1.17002
0.17700,1.10341
0.17800,1.00741
0.17900,1.03613
0.18000,1.04011
0.18100,1.03987
0.18200,1.01738
0.18300,1.10634
0.18400,0.87956
0.18500,0.84970
0.18600,0.92643
0.18700,0.95956
0.18800,0.94212
0.18900,0.92942
0.19000,1.00541
0.19100,0.94999
0.19200,1.00732
0.19300,1.04744
0.19400,1.04795
0.19500,1.08543
0.19600,1.08372
0.19700,1.08587
0.19800,1.06842
0.19900,1.09732
0.20000,1.15897
