strain,sxx_GPa,syy_GPa,szz_GPa
0.00000,-0.00397,0.00531,-0.00682
-0.00100,-0.04852,-0.00845,-0.02358
-0.00200,-0.07110,-0.00836,0.03048
-0.00300,-0.11742,-0.00241,0.00469
-0.00400,-0.17958,-0.02681,-0.03827
-0.00500,-0.15654,0.05344,0.04207
-0.00600,-0.23420,-0.01518,-0.00134
-0.00700,-0.31731,-0.05720,-0.06392
-0.00800,-0.21958,0.10278,0.08476
-0.00900,-0.41283,-0.07580,-0.06142
-0.01000,-0.29081,0.10084,0.06768
-0.01100,-0.42894,-0.02258,-0.05814
-0.01200,-0.44733,-0.02522,-0.01332
-0.01300,-0.39809,0.08116,0.10694
-0.01400,-0.64458,-0.16086,-0.13080
-0.01500,-0.45371,0.11172,0.10921
-0.01600,-0.56421,0.00686,-0.05718
-0.01700,-0.63554,-0.02861,-0.04289
-0.01800,-0.56632,0.10153,0.10114
-0.01900,-0.77418,-0.12399,-0.05944
-0.02000,-0.69628,-0.01676,0.04730
-0.02100,-0.71957,0.07078,0.03897
-0.02200,-0.87024,-0.08890,-0.15446
-0.02300,-0.68401,0.18392,0.10424
-0.02400,-0.99516,-0.18969,-0.14380
-0.02500,-0.82463,0.02349,0.12205
-0.02600,-0.87954,0.01371,0.03169
-0.02700,-1.03361,-0.04997,-0.10276
-0.02800,-0.85774,0.15855,0.08023
-0.02900,-1.11137,-0.08799,-0.11803
-0.03000,-1.02363,0.00173,0.06402
-0.03100,-1.01817,0.05571,0.13716
-0.03200,-1.23989,-0.14184,-0.10592
-0.03300,-1.10531,0.11084,0.05023
-0.03400,-1.23114,-0.03178,-0.10818
-0.03500,-1.17877,0.04869,-0.02893
-0.03600,-1.26036,-0.06187,-0.01719
-0.03700,-1.26147,-0.02654,0.04528
-0.03800,-1.24927,-0.02525,0.00941
-0.03900,-1.31018,0.01039,-0.02918
-0.04000,-1.34519,0.05484,-0.02186
-0.04100,-1.39893,0.00575,-0.00999
-0.04200,-1.45373,-0.04168,0.00517
-0.04300,-1.39685,0.01964,0.08767
-0.04400,-1.51167,-0.10041,-0.08122
-0.04500,-1.41074,0.11575,0.06077
-0.04600,-1.58799,-0.02935,-0.06919
-0.04700,-1.50945,0.04154,-0.00534
-0.04800,-1.52384,0.01634,0.04841
-0.04900,-1.64849,-0.11867,-0.03565
-0.05000,-1.52625,0.05336,0.07788
-0.05100,-1.65367,-0.06062,-0.11205
-0.05200,-1.56716,0.12303,0.04264
-0.05300,-1.65087,-0.00995,-0.02983
