strain,sxx_GPa,syy_GPa,szz_GPa
0.00000,-0.00397,0.00531,-0.00682
0.00100,0.04566,0.01821,0.00313
0.00200,0.03407,-0.05074,-0.01322
0.00300,0.13054,0.04212,0.04960
0.00400,0.08895,-0.04936,-0.06397
0.00500,0.20713,0.04659,0.03292
0.00600,0.19455,-0.02550,-0.01322
0.00700,0.20316,-0.04036,-0.04357
0.00800,0.31576,0.06370,0.04733
0.00900,0.25571,-0.03231,-0.02030
0.01000,0.39174,0.09096,0.04236
0.01100,0.35182,-0.01540,-0.04164
0.01200,0.40305,-0.02039,-0.00706
0.01300,0.48299,0.06220,0.08660
0.01400,0.38954,-0.10516,-0.07000
0.01500,0.57465,0.10427,0.07864
0.01600,0.45910,-0.06804,-0.10685
0.01700,0.60025,0.06267,0.02218
0.01800,0.61059,0.01170,-0.00429
0.01900,0.60913,-0.07581,-0.03845
0.02000,0.78963,0.11427,0.16704
0.02100,0.61890,-0.11448,-0.08810
0.02200,0.75876,0.08973,0.02003
0.02300,0.70496,-0.02312,-0.10486
0.02400,0.76114,0.00709,-0.02885
0.02500,0.86095,0.02224,0.05998
0.02600,0.78979,-0.11626,-0.02639
0.02700,0.92946,0.05320,0.10925
0.02800,0.82353,-0.05345,-0.12503
0.02900,0.97066,0.09368,0.02982
0.03000,0.90694,-0.02862,-0.07305
0.03100,0.97143,-0.00634,-0.00211
0.03200,1.04410,-0.00854,0.07033
0.03300,0.99271,-0.11859,-0.06361
0.03400,1.15817,0.07649,0.11086
0.03500,1.05915,-0.05990,-0.07814
0.03600,1.12433,0.06050,-0.02269
0.03700,1.19975,0.06931,0.00081
0.03800,1.16372,-0.08265,-0.02377
0.03900,1.27300,0.04244,0.10070
0.04000,1.22289,-0.10101,-0.01982
0.04100,1.28112,0.02056,0.02385
0.04200,1.28802,0.03839,-0.00059
0.04300,1.26483,0.02583,-0.06236
0.04400,1.36508,0.05774,0.00105
0.04500,1.36657,-0.03472,0.04106
0.04600,1.37721,-0.05534,0.01017
0.04700,1.42581,-0.01365,0.03504
0.04800,1.40827,0.01326,0.00045
0.04900,1.43460,0.01548,-0.04663
0.05000,1.50517,0.05571,0.00526
0.05100,1.51289,-0.01952,-0.00239
0.05200,1.51153,-0.03174,0.01161
0.05300,1.50661,-0.02844,0.00717
0.05400,1.53975,-0.02994,-0.00899
0.05500,1.59716,0.02236,-0.01986
0.05600,1.58544,0.01079,0.01528
0.05700,1.61573,-0.02550,-0.03239
0.05800,1.66136,-0.00072,0.01396
0.05900,1.65673,-0.04876,-0.02412
0.06000,1.72959,0.05189,0.05141
0.06100,1.70300,-0.02046,-0.04738
0.06200,1.73247,-0.01141,-0.00167
0.06300,1.80121,0.04810,0.04335
0.06400,1.76747,-0.01112,-0.03062
0.06500,1.84935,0.00393,0.02021
0.06600,1.83014,-0.03997,-0.00829
0.06700,1.88067,0.01713,0.01294
0.06800,1.87023,-0.05181,-0.01254
0.06900,1.89449,0.02384,0.03104
0.07000,1.84247,-0.06659,-0.05233
0.07100,1.93967,0.05688,0.02089
0.07200,1.92921,-0.01508,0.00372
0.07300,1.94528,-0.08240,-0.03670
0.07400,2.02060,0.02427,0.07572
0.07500,1.96835,-0.09801,-0.08204
0.07600,2.04304,0.09498,0.04912
0.07700,2.00254,0.02445,-0.01736
0.07800,1.99597,-0.01595,-0.08658
0.07900,2.11498,0.10423,0.10424
0.08000,2.00735,-0.14715,-0.07235
0.08100,2.16856,0.02180,0.13628
0.08200,2.11978,-0.06635,-0.00421
0.08300,2.08983,-0.07387,0.00975
0.08400,2.23797,0.13671,0.10464
0.08500,2.05240,-0.10209,-0.20127
0.08600,2.25073,0.14613,0.09783
0.08700,2.15010,-0.08519,-0.05036
0.08800,2.24309,0.00292,0.03523
0.08900,2.27853,0.03452,0.06494
0.09000,2.16260,-0.08847,-0.12472
0.09100,2.34020,0.12753,0.13332
0.09200,2.24666,-0.04640,-0.06359
0.09300,2.34834,0.02565,0.03908
0.09400,2.33799,-0.00389,-0.00691
0.09500,2.29872,-0.04616,-0.04109
0.09600,2.40558,0.06947,0.06029
0.09700,2.29576,-0.07353,-0.09329
0.09800,2.40622,0.03723,0.05386
0.09900,2.41460,-0.01399,0.00575
0.10000,2.42381,-0.06360,-0.04041
0.10100,2.51023,0.09803,0.11012
0.10200,2.43208,-0.10018,-0.08859
0.10300,2.53667,0.07183,0.05588
0.10400,2.48149,0.00642,-0.01001
0.10500,2.51896,-0.04835,-0.06896
0.10600,2.62882,0.11821,0.10341
0.10700,2.51109,-0.09566,-0.12857
0.10800,2.61679,0.10733,0.09147
0.10900,2.61199,-0.02875,0.03383
0.11000,2.54125,-0.13873,-0.07569
0.11100,2.73283,0.14685,0.18317
0.11200,2.55306,-0.12518,-0.11739
0.11300,2.70930,0.09486,0.08179
0.11400,2.66738,-0.00905,-0.02784
0.11500,2.65881,-0.03501,-0.05802
0.11600,2.76010,0.08258,0.06776
0.11700,2.63416,-0.08030,-0.10118
0.11800,2.77051,0.07308,0.05483
0.11900,2.72816,-0.01952,0.00928
0.12000,2.72727,-0.03714,-0.04786
0.12100,2.84582,0.04739,0.06124
0.12200,2.76968,-0.07672,-0.07098
0.12300,2.87634,0.06468,0.06114
0.12400,2.84906,-0.06238,-0.01114
0.12500,2.87742,0.03426,0.02958
0.12600,2.88215,0.00007,0.05327
0.12700,2.88395,-0.03938,-0.07145
0.12800,2.97359,0.06869,0.04510
0.12900,2.89420,-0.04773,-0.06189
0.13000,2.96416,0.03265,0.04036
0.13100,2.96692,0.02709,0.04190
0.13200,2.92119,-0.08353,-0.05077
0.13300,3.06189,0.10699,0.10118
0.13400,2.95316,-0.10247,-0.11883
0.13500,3.08710,0.05008,0.05804
0.13600,3.05839,-0.00965,0.01347
0.13700,2.98368,-0.09117,-0.09615
0.13800,3.13656,0.13717,0.16728
0.13900,2.92541,-0.14748,-0.13909
0.14000,3.11847,0.07085,0.11471
0.14100,3.13378,0.01587,0.02744
0.14200,3.06603,-0.12881,-0.08493
0.14300,3.21548,0.14008,0.12106
0.14400,3.05896,-0.11937,-0.10652
0.14500,3.15227,0.08510,-0.00164
0.14600,3.13035,0.03509,0.01047
0.14700,3.13633,-0.07463,-0.08384
0.14800,3.21270,0.10178,0.09484
0.14900,3.12712,-0.07262,-0.04043
0.15000,3.20782,0.04770,0.02552
0.15100,3.19189,0.03572,-0.00510
0.15200,3.16476,-0.04784,-0.07799
0.15300,3.19080,0.07191,0.07054
0.15400,3.06960,-0.07869,-0.03494
0.15500,3.08876,0.00858,0.01873
0.15600,3.02423,0.04469,-0.00771
0.15700,2.95671,-0.02401,-0.03101
0.15800,2.91455,0.03988,0.10866
0.15900,2.72693,-0.04214,-0.03697
0.16000,2.65292,0.01479,-0.07080
0.16100,2.58697,0.06647,0.03984
0.16200,2.36666,-0.06592,-0.06236
0.16300,2.35072,0.04158,0.01712
0.16400,2.28377,0.02685,-0.01230
0.16500,2.23305,-0.02723,0.01364
0.16600,2.24118,0.01820,0.03725
0.16700,2.12619,0.02110,-0.00711
0.16800,2.04994,-0.03414,-0.03857
0.16900,2.02855,0.03839,0.06925
0.17000,1.91045,-0.02480,-0.02791
0.17100,1.89873,-0.00107,-0.00733
0.17200,1.85618,0.01891,0.01266
0.17300,1.77195,-0.10079,0.01348
0.17400,1.77795,-0.01286,0.10791
0.17500,1.62008,-0.02685,-0.00777
0.17600,1.56749,0.00886,-0.03131
0.17700,1.50511,0.06030,0.01978
0.17800,1.36605,0.00863,0.02060
0.17900,1.31162,-0.02796,0.00848
0.18000,1.30777,0.01501,0.03611
0.18100,1.16122,0.00834,0.04198
0.18200,1.14552,-0.01059,-0.05643
0.18300,1.15063,0.10475,0.02364
0.18400,1.03645,0.02006,-0.14058
0.18500,1.07642,0.01068,0.02821
0.18600,0.99194,0.00244,0.06367
0.18700,0.89102,-0.07966,-0.03724
0.18800,1.04019,0.04822,0.05783
0.18900,0.96660,-0.07643,0.03917
0.19000,0.90056,0.06930,-0.08123
0.19100,0.97578,0.06636,-0.00686
0.19200,0.96074,0.00980,-0.04398
0.19300,1.00262,-0.05435,0.02383
0.19400,1.06660,-0.02376,0.04794
0.19500,1.10342,0.02424,0.01102
0.19600,1.10036,0.00269,-0.01118
0.19700,1.08646,0.02029,-0.02762
0.19800,1.08623,0.01122,0.01327
0.19900,1.10547,-0.05426,-0.00567
0.20000,1.14825,0.01980,0.00355
